"Ordered Items","Ordered Items"
"Product SKU","Product SKU"
"Show Report","Show Report"
"ID","ID"
"SKU","SKU"
"Product Price","Product Price"
"Qty Available","Qty Available"
"Status","Status"
"Active","Active"
"No results","No results"
"by","by"
"Vendor Rating","Vendor Rating"
"My rates","My rates"
"Supplier Name","Supplier Name"
"Rate","Rate"
"No rates","No rates"
"rate vendor","rate vendor"
"Order ID","Order ID"
"No suppliers to rate","No suppliers to rate"
"Upload Products","Upload Products"
"Store admin provides various options for the product.","Store admin provides various options for the product."
"You can upload %d products in a row.","You can upload %d products in a row."
"Show instructions","Show instructions"
"Your server has disabled option <strong>allow_url_fopen</strong>, it can be problem to download assigned images","Your server has disabled option <strong>allow_url_fopen</strong>, it can be problem to download assigned images"
"Success count : %d.","Success count : %d."
"Click here for full report","Click here for full report"
"Product ID","Product ID"
"Product Name","Product Name"
"SKU","SKU"
"Failed count : %d.","Failed count : %d."
"Line #","Line #"
"Field","Field"
"Message","Message"
"Start Import","Start Import"
"Download","Download"
"click","click"
"Create Invoice for Order","Create Invoice for Order"
"Order Date","Order Date"
"Order Status","Order Status"
"Account Information","Account Information"
"Customer Name","Customer Name"
"Email","Email"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Items to Invoice","Items to Invoice"
"Product","Product"
"Qty Ordered","Qty Ordered"
"Available for Invoice","Available for Invoice"
"Qty","Qty"
"Save Invoice","Save Invoice"
"Shipment for Order","Shipment for Order"
"Order Information","Order Information"
"Tracking Codes","Tracking Codes"
"Carrier","Carrier"
"Title","Title"
"Number","Number"
"Print Label","Print Label"
"Qty to Ship","Qty to Ship"
"Invoices","Invoices"
"View","View"
"Orders","Orders"
"Filter","Filter"
"Order #","Order #"
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"Subtotal","Subtotal"
"Income","Income"
"Ship","Ship"
"Order","Order"
"Shipments","Shipments"
"Quick Create Associated Product","Quick Create Associated Product"
"Remove Product","Remove Product"
"Create Product Settings","Create Product Settings"
"Attribute Set","Attribute Set"
"Product Type","Product Type"
"label","label"
"Continue","Continue"
"Product Attributes","Product Attributes"
"Save Product","Save Product"
"Search by Status","Search by Status"
"Inactive","Inactive"
