"Renew","Renew"
"Upgrade","Upgrade"
"Number Of Months","Number Of Months"
"Active Subscription","Active Subscription"
"Renewal Date: %s","Renewal Date: %s"
"Please choose your plan to upgrade?","Please choose your plan to upgrade?"
"Features","Features"
"Amount of the products","Amount of the products"
"Images Per Products","Images Per Products"
"Manage Subscription Plans","Manage Subscription Plans"
"Subscription Plan list","Subscription Plan list"
"Number of Products","Number of Products"
"Subscription Info","Subscription Info"
"Images Number Per Products","Images Number Per Products"
"New Subscription Plan","New Subscription Plan"
"Edit Subscription Plan %s","Edit Subscription Plan %s"
"Shelf Space","Shelf Space"
