"Ordered Items","Zamówione Produkty"
"Product SKU","SKU"
"Show Report","Pokaż Raport"
"ID","ID"
"SKU","SKU"
"Product Price","Cena Produktu"
"Qty Available","Dostępna Ilość"
"Status","Status"
"Active","Aktywuj"
"No results","Brak wyników"
"by","przez"
"Vendor Rating","Ocena Sprzedawcy"
"My rates","Moje Oceny"
"Supplier Name","Nazwa Dostawcy"
"Rate","Ocena"
"No rates","Brak Ocen"
"rate vendor","oceń sprzedawcę"
"Order ID","ID Zamówienia"
"Rate","Ocena"
"No suppliers to rate","Brak dostawców do oceny"
"Upload Products","Załaduj Produkty"
"Store admin provides various options for the product.","Administrator sklepu oferuje różne opcje dla tego produktu."
"You can upload %d products in a row.","Możesz przesłać %d produktów z rzędu"
"Show instructions","Pokaż instrukcje"
"Your server has disabled option <strong>allow_url_fopen</strong>, it can be problem to download assigned images","Twój serwer ma wyłączoną opcję <strong>allow_url_fopen</strong>, mogą wystąpić problemy z pobraniem obrazów."
"Success count : %d.","Ilość poprawnych prób: %d."
"Click here for full report","Kliknij tutaj, aby pobrać pełny raport"
"Product ID","ID Produktu"
"Product Name","Nazwa Produktu"
"Failed count : %d.","Błędna liczba: %d"
"Line #","Linia #"
"Field","Pole"
"Message","Wiadomość"
"Start Import","Rozpocznij Importowanie"
"Download","Pobierz"
"click","kliknij"
"Create Invoice for Order","Stwórz Fakturę dla Zamówienia"
"Order Date","Data Zamówienia"
"Order Status","Status Zamówienia"
"Account Information","Informacje o koncie"
"Customer Name","Nazwa Klienta"
"Billing Address","Adres Faktury"
"Shipping Address","Adres Dostawy"
"Items to Invoice","Pozycje Faktury"
"Product","Produkt"
"Available for Invoice","Dostępne Ilości na Fakturze"
"Qty","Ilość"
"Notify Customer","Powiadom Klienta"
"Save Invoice","Zapisz Fakturę"
"Shipment for Order","Wysyłka dla Zamówienia"
"Order Information","Informacje o Zamówieniu"
"Order Date","Data zamówienia"
"Order Status","Status Zamówienia"
"Customer Name","Nazwa Klienta"
